time,Interest Rate,Real Wages,Adjusted Reserves,PPIC,GDP,private_consumption,government_expenditure,government_revenue,private_non_residential_investment,gdp_deflator,Population,real_GDP,real_private_consumption,real_government_expenditure,real_government_revenue,real_private_non_residential_investment
1976Q3,5.28,4.2230455572378345,3.068517943279639,4.157319361383489,14.45026456267933,13.962900722634036,12.90797389715532,12.36265750319839,12.313253004268622,3.3828636749736507,5.386044320784522,5.681356566921157,5.193992726875862,4.139065901397149,3.5937495074402173,3.5443450085104495
1976Q4,4.87,4.22966185916973,3.0798436161726435,4.152613470346076,14.475242103254795,13.991485349921549,12.925905573019158,12.402777761191391,12.3468948951461,3.400630554379253,5.3886926625457905,5.685918886329752,5.202162132996505,4.136582356094114,3.613454544266347,3.557571678221056
1977Q1,4.66,4.230273079446345,3.092858984284714,4.182050142641207,14.502965568821034,14.021070011225406,12.950867807568766,12.466685376958859,12.401960101337513,3.416578483700458,5.391019603168328,5.695367481952249,5.213471924356622,4.143269720699981,3.6590872900900733,3.594362014468728
1977Q2,5.16,4.233207549933928,3.1084804332457443,4.206184043977636,14.53622864387727,14.043426702316621,12.974702923753792,12.523620511931673,12.444096927533673,3.430594358512943,5.3934275263496945,5.712206759014633,5.2194048174539835,4.150681038891155,3.699598627069036,3.6200750426710364
1977Q3,5.82,4.2386901863575295,3.128250653254135,4.160444363926624,14.566206104100884,14.067750668779983,12.990006152318083,12.537736913801837,12.480931602130592,3.4426911504915143,5.396228705856362,5.727286247753008,5.228830812432106,4.151086295970206,3.6988170574539603,3.642011745782716
1977Q4,6.51,4.241211638031653,3.1416491484541456,4.178992036282385,14.587593680111906,14.096775081932245,13.009752194630808,12.572082879738236,12.527953225561866,3.4640782797013565,5.399071790433621,5.724443609976929,5.233625011797268,4.146602124495831,3.708932809603258,3.6648031554268896
1978Q1,6.76,4.252074542987986,3.163954905968444,4.22683374526818,14.605221677498491,14.118612874967452,13.022739707865016,12.577205074557833,12.55116830759513,3.4784978713519434,5.401410814348397,5.725312991798152,5.238704189267112,4.142831022164676,3.6972963888574926,3.671259621894789
1978Q2,7.28,4.247580538120959,3.18738515777683,4.293195420967266,14.662079438424449,14.160082049746892,13.065344247981502,12.68549738145625,12.642235066107139,3.497446514451519,5.403942347231905,5.760690576741025,5.258693188063467,4.1639553862980785,3.7841085197728255,3.7408462044237143
1978Q3,8.1,4.248595237049693,3.2067627569843986,4.308110951723713,14.688915918018626,14.181692070942127,13.090313214298966,12.703223190172848,12.691885030310644,3.514287943381892,5.406871277885953,5.767756696750781,5.260532849674282,4.16915399303112,3.782063968905003,3.7707258090427977
1978Q4,9.58,4.253752825276377,3.21140801002068,4.350277936359301,14.722538118836843,14.208467092371368,13.114816974798927,12.760991706806676,12.740895030081719,3.5345329217754937,5.4097827097680815,5.7782224872932675,5.264151460827793,4.170501343255351,3.8166760752631004,3.7965793985381424
1979Q1,10.07,4.256392547509724,3.2069651738423657,4.406719247264253,14.742389041258313,14.232338200616542,13.125992783136,12.7806643046434,12.784636353867185,3.5526014358213085,5.4123243931581175,5.777463212278886,5.267412371637117,4.161066954156575,3.815738475663974,3.8197105248877588
1979Q2,10.18,4.252416116792595,3.211327407110871,4.441474093317302,14.767649784989054,14.258679203255056,13.154846056289255,12.805562779108458,12.805642394210661,3.576801985708491,5.4149308296320955,5.775916969648468,5.266946387914469,4.163113240948669,3.8138299637678714,3.8139095788700748
1979Q3,10.95,4.248123744481253,3.22386336637924,4.461299815568389,14.796676629246358,14.292903692441413,13.186475557671546,12.813239735323819,12.855795490081263,3.59843491784413,5.417956456447362,5.780285254954865,5.276512318149921,4.1700841833800535,3.796848361032327,3.8394041157897716
1979Q4,13.58,4.248295222046692,3.2472688993694185,4.499809670330265,14.817568993787246,14.319332714605938,13.213619897675882,12.826780845011017,12.87731413891295,3.6168193835775146,5.4210525644273755,5.779697045782356,5.281460766601048,4.175747949670991,3.788908897006127,3.83944219090806
1980Q1,15.05,4.244716683709275,3.26105369976707,4.515245478460105,14.84149552136959,14.347492010683014,13.251250753256432,12.828188270755884,12.910387237782016,3.6376124751696053,5.423865729412971,5.7800173167870135,5.2860138061004385,4.189772548673855,3.766710066173307,3.848909033199439
1980Q2,12.69,4.247137177439788,3.2653776585196206,4.492001487882454,14.844183813389822,14.348913192158047,13.285412066554677,12.797225859463753,12.885830588971103,3.6611227770688934,5.426662207235259,5.756398829085669,5.261128207853895,4.197627082250524,3.7094408751596,3.7980456046669504
1980Q3,9.84,4.2482666444943575,3.2829392331575353,4.584967478670572,14.865101705789893,14.382964688527606,13.29154734609946,12.784047442214954,12.913411151200542,3.6832134324873094,5.429652599378058,5.752235673924526,5.270098656662238,4.178681314234092,3.6711814103495857,3.800545119335174
1980Q4,15.85,4.25122009768458,3.284963145995622,4.632785353021065,14.90929688706628,14.42085004455837,13.319397833390003,12.860476399017713,12.954548094011995,3.7089271494177143,5.4323630019270865,5.768006735721478,5.279559893213569,4.178107682045202,3.7191862476729125,3.8132579426671955
